Name,Team,G,Rush ,Yds ,Y/G ,Avg ,TD ,Rec ,Tgt ,Yds ,Y/G ,Avg ,Lng ,YAC ,1stD ,TD ,Fum ,FumL 
LeSean McCoy,PHI,16,314,1607,100.4,5.1,9,52,64,539,33.7,10.4,70,12,23,2,1,1
Matt Forte,CHI,16,289,1339,83.7,4.6,9,74,94,594,37.1,8,34,7.5,23,3,2,2
Jamaal Charles,KAN,15,259,1287,85.8,5,12,70,104,693,46.2,9.9,71,9.6,32,7,4,2
Alfred Morris,WAS,16,276,1275,79.7,4.6,7,9,12,78,4.9,8.7,17,8.9,2,0,5,4
Adrian Peterson,MIN,14,279,1266,90.4,4.5,10,29,40,171,12.2,5.9,22,5.7,11,1,5,3
Marshawn Lynch,SEA,16,301,1257,78.6,4.2,12,36,44,316,19.8,8.8,55,8.1,12,2,4,1
Ryan Mathews,SDG,16,285,1255,78.4,4.4,6,26,33,189,11.8,7.3,17,7.9,9,1,2,1
Eddie Lacy,GNB,15,284,1178,78.5,4.1,11,35,44,257,17.1,7.3,34,9.2,12,0,1,1
Frank Gore,SFO,16,276,1128,70.5,4.1,9,16,26,141,8.8,8.8,29,6.4,5,0,3,3
DeMarco Murray,DAL,14,217,1121,80.1,5.2,9,53,66,350,25,6.6,22,7.5,18,1,3,1
Chris Johnson,TEN,16,279,1077,67.3,3.9,6,42,52,345,21.6,8.2,66,9.5,10,4,4,2
Knowshon Moreno,DEN,16,241,1038,64.9,4.3,10,60,74,548,34.3,9.1,35,8.3,29,3,1,0
Reggie Bush,DET,14,223,1006,71.9,4.5,4,54,80,506,36.1,9.4,77,9.1,22,3,5,4
Zac Stacy,STL,14,250,973,69.5,3.9,7,26,35,141,10.1,5.4,25,6,7,1,1,1
C.J. Spiller,BUF,15,202,933,62.2,4.6,2,33,40,185,12.3,5.6,27,7.2,5,0,4,1
Fred Jackson,BUF,16,206,890,55.6,4.3,9,47,66,387,24.2,8.2,37,9.1,16,1,3,0
Le'Veon Bell,PIT,13,244,860,66.2,3.5,8,45,66,399,30.7,8.9,43,10.4,13,0,1,1
DeAngelo Williams,CAR,15,201,843,56.2,4.2,3,26,36,333,22.2,12.8,72,15.3,10,1,3,2
Chris Ivory,NYJ,15,182,833,55.5,4.6,3,2,7,10,0.7,5,12,4,1,0,2,0
Maurice Jones-Drew,JAC,15,234,803,53.5,3.4,5,43,60,314,20.9,7.3,17,7.7,13,0,1,1
Stevan Ridley,NWE,14,178,773,55.2,4.3,7,10,12,62,4.4,6.2,24,6.2,2,0,4,4
LeGarrette Blount,NWE,16,153,772,48.3,5,7,2,5,38,2.4,19,32,21,1,0,3,2
Ben Tate,HOU,14,181,771,55.1,4.3,4,34,49,140,10,4.1,10,5.1,1,0,5,2
BenJarvus Green-Ellis,CIN,16,220,756,47.3,3.4,7,4,8,22,1.4,5.5,10,2.3,1,0,2,2
Rashad Jennings,OAK,15,163,733,48.9,4.5,6,36,47,292,19.5,8.1,24,9.1,12,0,0,0
Lamar Miller,MIA,16,177,709,44.3,4,2,26,35,170,10.6,6.5,22,7.6,6,0,1,1
Bilal Powell,NYJ,16,176,697,43.6,4,1,36,58,272,17,7.6,36,9,13,0,1,0
Giovani Bernard,CIN,16,170,695,43.4,4.1,5,56,71,514,32.1,9.2,41,9.6,21,3,1,1
Rashard Mendenhall,ARI,15,217,687,45.8,3.2,8,18,21,134,8.9,7.4,24,9,5,0,4,3
Ray Rice,BAL,15,214,660,44,3.1,4,58,73,321,21.4,5.5,22,6.5,13,0,2,2
Andre Ellington,ARI,15,118,652,43.5,5.5,3,39,58,371,24.7,9.5,38,7,21,1,1,0
Joique Bell,DET,16,166,650,40.6,3.9,8,53,69,547,34.2,10.3,37,10.6,22,0,4,3
Bobby Rainey,CLE,6,150,566,35.4,3.8,5,15,20,46,2.9,3.1,15,4.6,3,1,1,1
Trent Richardson,CLE,2,188,563,35.2,3,3,35,52,316,19.8,9,24,9.2,15,1,2,1
Montee Ball,DEN,16,120,559,34.9,4.7,4,20,27,145,9.1,7.3,31,7.2,10,0,3,3
Pierre Thomas,NOR,16,147,549,34.3,3.7,2,77,84,513,32.1,6.7,29,8.7,21,3,1,0
