Team,G ,KO ,Avg ,TB ,Ret ,Avg ,RetTD 
Arizona Cardinals,16,87,66.2,33,54,24,0
Atlanta Falcons,16,73,66,50,23,24.8,0
Baltimore Ravens,16,81,64,42,38,23,0
Buffalo Bills,16,82,65.5,34,48,23.4,0
Carolina Panthers,16,81,65.6,63,18,22.6,0
Chicago Bears,16,86,61,38,47,18.8,1
Cincinnati Bengals,16,85,64.5,32,52,23.4,0
Cleveland Browns,16,68,65.6,42,27,22.7,0
Dallas Cowboys,16,91,64.5,52,38,20.8,0
Denver Broncos,16,113,65.8,81,32,29.3,1
Detroit Lions,16,83,67,45,35,26.4,0
Green Bay Packers,16,92,64.1,30,61,25.9,1
Houston Texans,16,68,67.2,29,39,25.7,0
Indianapolis Colts,16,86,67.7,41,43,25.2,0
Jacksonville Jaguars,16,62,66,36,25,20.4,0
Kansas City Chiefs,16,92,66,47,43,24.4,0
Miami Dolphins,16,75,66.2,38,36,22.9,0
Minnesota Vikings,16,86,65.5,44,41,27.1,1
New England Patriots,16,98,65.2,65,32,20.8,0
New Orleans Saints,16,85,65.7,52,33,25.2,0
New York Giants,16,69,65.3,35,33,21.8,0
New York Jets,16,72,63.6,30,42,22.3,0
Oakland Raiders,16,69,64.2,38,30,20.4,0
Philadelphia Eagles,16,88,63.8,37,52,23.6,2
Pittsburgh Steelers,16,83,62.4,24,55,22.4,0
San Diego Chargers,16,92,66.6,18,73,24.6,0
San Francisco 49ers,16,92,65.9,38,54,20.4,0
Seattle Seahawks,16,94,65.8,48,44,24,0
St. Louis Rams,16,78,66.9,52,25,21.8,0
Tampa Bay Buccaneers,16,66,65.6,41,24,18.8,0
Tennessee Titans,16,78,64.4,32,45,24.4,0
Washington Redskins,16,69,62.6,22,47,22.3,1
