Name,Team,G,Rec,Tgt,RecYds,Y/G,Avg,Lng,YAC,1stD,RecTD,KR,Yds,Avg,Long,KRTD,PR,Yds,Avg,Long,PRTD,Fum,FumL
Josh Gordon,CLE,14,87,159,1646,117.6,18.9,95,7.4,64,9,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Brown,PIT,16,110,166,1499,93.7,13.6,56,5.5,69,8,1,16,16,16,0,32,409,12.8,67,1,0,0
Calvin Johnson,DET,14,84,156,1492,106.6,17.8,87,5.9,69,12,0,0,0,0,0,0,0,0,0,0,1,1
Demaryius Thomas,DEN,16,92,142,1430,89.4,15.5,78,7.8,66,14,0,0,0,0,0,0,0,0,0,0,1,0
A.J. Green,CIN,16,98,178,1426,89.1,14.6,82,4.3,65,11,0,0,0,0,0,0,0,0,0,0,1,0
Alshon Jeffery,CHI,16,89,149,1421,88.8,16,80,4.9,62,7,0,0,0,0,0,0,0,0,0,0,3,1
Andre Johnson,HOU,16,109,181,1407,87.9,12.9,62,3.9,69,5,0,0,0,0,0,0,0,0,0,0,0,0
Pierre Garcon,WAS,16,113,182,1346,84.1,11.9,53,5.9,60,5,0,0,0,0,0,0,0,0,0,0,1,1
DeSean Jackson,PHI,16,82,126,1332,83.3,16.2,61,6.2,60,9,1,10,10,10,0,14,71,5.1,32,0,1,0
Jordy Nelson,GNB,16,85,127,1314,82.1,15.5,76,5.3,60,8,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Marshall,CHI,16,100,164,1295,80.9,13,44,3.2,70,12,1,-8,-8,-8,0,0,0,N/A ,0,0,0,0
Eric Decker,DEN,16,87,136,1288,80.5,14.8,61,4.6,63,11,0,0,0,0,0,1,2,2,2,0,2,1
Dez Bryant,DAL,16,93,159,1233,77.1,13.3,79,5.6,67,13,0,0,0,0,0,0,0,0,0,0,3,1
Vincent Jackson,TAM,16,78,159,1224,76.5,15.7,60,4.2,60,7,0,0,0,0,0,0,0,0,0,0,1,0
Anquan Boldin,SFO,16,85,129,1179,73.7,13.9,63,5.5,62,7,0,0,0,0,0,0,0,0,0,0,0,0
Torrey Smith,BAL,16,65,137,1128,70.5,17.4,74,6.2,49,4,0,0,0,0,0,0,0,0,0,0,1,0
T.Y. Hilton,IND,16,82,138,1083,67.7,13.2,73,4.9,46,5,0,0,0,0,0,17,159,9.4,34,0,0,0
Kendall Wright,TEN,16,94,139,1079,67.4,11.5,45,6.3,52,2,0,0,0,0,0,0,0,0,0,0,2,0
Harry Douglas,ATL,16,85,132,1067,66.7,12.6,80,6.3,47,2,0,0,0,0,0,10,57,5.7,15,0,2,1
Julian Edelman,NWE,16,105,151,1056,66,10.1,44,4.8,54,6,0,0,0,0,0,35,374,10.7,43,0,0,0
Keenan Allen,SDG,15,71,104,1046,69.7,14.7,43,6.2,54,8,0,0,0,0,0,15,125,8.3,28,0,1,1
Michael Floyd,ARI,16,65,111,1041,65.1,16,91,4.4,48,5,0,0,0,0,0,0,0,0,0,0,0,0
Brian Hartline,MIA,16,76,133,1016,63.5,13.4,50,4.2,53,4,0,0,0,0,0,0,0,0,0,0,0,0
Victor Cruz,NYG,14,73,122,998,71.3,13.7,70,3.7,45,4,0,0,0,0,0,0,0,0,0,0,1,1
Larry Fitzgerald,ARI,16,82,135,954,59.6,11.6,75,4.3,49,10,0,0,0,0,0,0,0,0,0,0,1,1
Marques Colston,NOR,15,75,110,943,62.9,12.6,35,3.4,54,5,0,0,0,0,0,0,0,0,0,0,0,0
Mike Wallace,MIA,16,73,141,930,58.1,12.7,57,3.9,46,5,0,0,0,0,0,0,0,0,0,0,0,0
Nate Washington,TEN,16,58,105,919,57.4,15.8,77,4.2,43,3,0,0,0,0,0,0,0,0,0,0,0,0
Golden Tate,SEA,16,64,98,898,56.1,14,80,8,41,5,3,57,19,24,0,51,585,11.5,71,0,1,0
Hakeem Nicks,NYG,15,56,101,896,59.7,16,57,5.1,38,0,0,0,0,0,0,0,0,0,0,0,0,0
Rod Streater,OAK,16,60,99,888,55.5,14.8,66,5.5,39,4,0,0,0,0,0,0,0,0,0,0,1,1
Riley Cooper,PHI,16,47,83,835,52.2,17.8,63,5.4,33,8,1,-4,-4,-4,0,0,0,0,0,0,0,0
James Jones,GNB,14,59,93,817,58.4,13.8,83,6.4,30,3,0,0,0,0,0,0,0,0,0,0,2,1
Greg Jennings,MIN,15,68,106,804,53.6,11.8,70,5.3,36,4,0,0,0,0,0,0,0,0,0,0,0,0
DeAndre Hopkins,HOU,16,52,91,802,50.1,15.4,66,3.6,38,2,0,0,0,0,0,0,0,0,0,0,1,1
Doug Baldwin,SEA,16,50,73,778,48.6,15.6,52,4.9,36,5,2,57,28.5,37,0,0,0,0,0,0,0,0
Wes Welker,DEN,13,73,111,778,59.8,10.7,33,4.7,49,10,0,0,0,0,0,10,70,7,27,0,0,0
Cecil Shorts III,JAC,13,66,123,777,59.8,11.8,59,4.5,41,3,0,0,0,0,0,0,0,0,0,0,0,0
Steve Smith,CAR,15,64,110,745,49.7,11.6,44,3.2,44,4,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel Sanders,PIT,16,67,112,740,46.3,11,55,4.6,37,6,10,268,26.8,46,0,0,0,0,0,0,1,0
Terrance Williams,DAL,16,44,74,736,46,16.7,82,5,31,5,6,142,23.7,32,0,0,0,0,0,0,1,1
Jerome Simpson,MIN,16,48,100,726,45.4,15.1,51,4,35,1,0,0,0,0,0,0,0,0,0,0,1,0
Marvin Jones,CIN,16,51,80,712,44.5,14,45,4.5,36,10,0,0,0,0,0,0,0,0,0,0,0,0
Roddy White,ATL,13,63,97,711,54.7,11.3,39,2.1,37,3,0,0,0,0,0,0,0,0,0,0,2,1
Denarius Moore,OAK,13,46,86,695,53.5,15.1,73,5.8,36,5,0,0,0,0,0,0,0,0,0,0,0,0
Jarrett Boykin,GNB,16,49,83,681,42.6,13.9,52,5.3,34,3,0,0,0,0,0,0,0,0,0,0,0,0
Dwayne Bowe,KAN,15,57,103,673,44.9,11.8,34,3.5,39,5,0,0,0,0,0,0,0,0,0,0,0,0
Kenny Stills,NOR,16,32,50,641,40.1,20,76,6.1,24,5,0,0,0,0,0,0,0,0,0,0,0,0
Danny Amendola,NWE,12,54,83,633,52.8,11.7,57,5.4,37,2,0,0,0,0,0,1,13,13,13,0,0,0
