name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
P.Manning,00-0010346,no,DEN,QB,0,0,0,0,0,6,2,10,2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659,450,10,55,1,0,5477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,-3,1,1,0,0,-31
K.Moreno,00-0026988,no,DEN,RB,0,0,0,0,0,0,2,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,45,61,3,0,0,553,242,225,42,10,0,0,1039
M.Ball,00-0030522,no,DEN,RB,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,19,0,0,0,140,119,187,17,4,0,0,558
R.Hillman,00-0029683,no,DEN,RB,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,12,0,0,0,119,55,92,1,1,0,0,218
W.Welker,00-0022427,no,DEN,WR,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,54,0,10,0,289,54,73,10,0,0,778,0,0,0,0,0,0,0
J.Thomas,00-0028067,no,DEN,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,188,65,12,0,0,788,0,0,0,0,0,0,0
A.Caldwell,00-0026237,no,DEN,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,58,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,43,16,3,0,0,200,1,7,0,0,0,0,7
D.Thomas,00-0027874,no,DEN,WR,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,307,92,14,1,0,1430,0,0,0,0,0,0,0
E.Decker,00-0027690,no,DEN,WR,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,513,105,87,11,0,0,1288,0,0,0,0,0,0,0
D.Trevathan,00-0029577,no,DEN,OLB,40,2,3,2,84,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Prater,00-0023853,no,DEN,K,0,0,0,0,0,0,0,0,0,0,26,25,554,75,75,0,75,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B.Colquitt,00-0026516,no,DEN,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,23,770,65,2893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.Holliday,00-0027606,no,DEN,WR,0,0,0,0,0,2,3,5,3,0,0,0,0,0,0,0,0,0,0,349,416,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,86,173,81,32,1,0,0,0,0,0,0,0,1,7,0,0,0,0,7
T.Knighton,00-0027046,no,DEN,DT,13,0,1,3,18,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R.Moore,00-0027983,no,DEN,FS,6,0,2,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
