name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
P.Manning,00-0010346,no,DEN,QB,,,,,,4,1,6,1,-4,,,,,,,,,,,,,,,333,237,6,29,1,0,2919,,,,,,,,,,,,,,,,,,22,-2,1,1,0,0,-26
K.Moreno,00-0026988,no,DEN,RB,,,,,,0,2,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,35,29,1,0,0,287,109,102,39,8,0,0,457
M.Ball,00-0030522,no,DEN,RB,,,,,,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2,0,0,0,27,54,54,4,1,0,0,176
R.Hillman,00-0029683,no,DEN,RB,,,,,,1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,0,12,0,0,0,119,40,81,1,1,0,0,182
W.Welker,00-0022427,no,DEN,WR,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,13,27,0,2,0,191,53,50,9,0,0,555,,,,,,,
J.Thomas,00-0028067,no,DEN,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,72,39,8,0,0,451,,,,,,,
A.Caldwell,00-0026237,no,DEN,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,28,4,1,0,0,83,1,7,0,0,0,0,7
D.Thomas,00-0027874,no,DEN,WR,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,159,48,6,1,0,685,,,,,,,
E.Decker,00-0027690,no,DEN,WR,,,,,,1,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,21,46,3,0,0,669,,,,,,,
D.Trevathan,00-0029577,no,DEN,OLB,19,1,3,1,39,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
